latitude,longitude,name,desc,color,source,precision
37.791957,-79.880968,"1 Alleghany Regional Hospital Lane, Low Moor, VA, 24457","1 Alleghany Reg Hospital Ln, Lowmoor, VA 24457",,Bing Maps,address
37.4853821,-120.8597978,930 S. Ave,"930 South Ave, Turlock, CA 95380-5636",,Bing Maps,address
37.245537,-77.41093,"Suite 101"", Colonial Heights, VA, 23834","101 Bruce Ave, Colonial Heights, VA 23834",,Bing Maps,address
37.226724,-80.010025,"4330 Brambleton Avenue, Roanoke, VA, 24018","4330 Brambleton Ave, Roanoke, VA 24018",,Bing Maps,address
32.3762695,-86.2806772,"2612 Burford Road, Richmond, VA, 23235","Burford St, Montgomery, AL 36107",,Bing Maps,street
37.410412,-77.655255,"13636 Hull Street Road, Midlothian, VA, 23112","13636 Hull Street Rd, Midlothian, VA 23112",,Bing Maps,address
37.510646,-77.594695,"1401 Johnston-Willis Drive, Richmond, VA, 23235","1401 Johnston Willis Dr, Wilkinson Terrace, VA 23235",,Bing Maps,address
37.553274,-77.472765,"110 N. Robinson Steet. Suite 201, Richmond, VA, 23220","110 N Robinson St, Richmond, VA 23220",,Bing Maps,address
38.870046,-77.158107,"2960 Sleepy Hollow Road, Falls Church, VA, 22044","2960 Sleepy Hollow Rd, Falls Church, VA 22044",,Bing Maps,address
37.604125,-77.540119,"1602 Skipwith Rd, Richmond, VA, 23229","1602 Skipwith Rd, Henrico, VA 23229",,Bing Maps,address
37.636758,-77.570817,"9930 Independence Park Drive, Suite 100, Richmond, VA, 23233","9930 Independence Park Dr, Richmond, VA 23233",,Bing Maps,address
37.308132,-77.291359,"411 W Randolph Rd, Hopewell, VA, 23860","411 W Randolph Rd, Hopewell, VA 23860",,Bing Maps,address
37.2838554,-80.0797348,"1900 Electric Rd, Salem, VA, 24153","24153, VA",,Bing Maps,postcode
37.187453,-80.411226,"3700 S Main St, Blacksburg, VA, 24060","3700 S Main St, Blacksburg, VA 24060",,Bing Maps,address
42.876887,-71.316641,"1 Parkland Dr, Derry, NH, 3038","1 Parkland Dr, Derry, NH 03038",,Bing Maps,address
43.064863,-70.790212,"333 Borthwick Ave, Portsmouth, NH, 3801","333 Borthwick Ave, Portsmouth, NH 03801",,Bing Maps,address
37.06834,-80.757192,"2400 Lee Hwy, Pulaski, VA, 24301","2400 Lee Hwy N, Pulaski, VA 24301",,Bing Maps,address
38.9622438,-77.3648135,"1850 Town Center Pkwy, Reston, VA, 20190","1850 Town Center Dr, Reston, VA 20190",,Bing Maps,address
38.217385,-77.496164,"4600 Spotsylvania Parkway, Fredericksburg, VA, 22408","4600 Spotsylvania Pkwy, Fredericksburg, VA 22408",,Bing Maps,address
38.940415,-77.542468,"24440 Stone Springs Blvd, Dulles, VA, 20166","24440 Stone Springs Blvd, Sterling, VA 20166",,Bing Maps,address
39.419489,-87.409001,"3901 S 7th St, Terre Haute, IN, 47802","3901 S 7th St, Terre Haute, IN 47802",,Bing Maps,address
40.864511,-73.398532,"11 Whitehall Road, Rochester, NH, 27720","11 Whitehall Dr, Huntington, NY 11743",,Bing Maps,address
40.864511,-73.398532,"11 Whitehall Road, Rochester, NH, 27720","11 Whitehall Dr, Huntington, NY 11743",,Bing Maps,address
43.064863,-70.790212,"333 Borthwick, Portsmouth, NH, 3801","333 Borthwick Ave, Portsmouth, NH 03801",,Bing Maps,address
42.876887,-71.316641,"1 Parkland Dr, Derry, NH, 3038","1 Parkland Dr, Derry, NH 03038",,Bing Maps,address
30.626191,-97.688499,"2000 Scenic Drive, Georgetown, TX, 78626","2000 Scenic Dr, Georgetown, TX 78626",,Bing Maps,address
30.289881,-97.725987,"919 E 32nd St, Austin, TX, 78705","919 E 32nd St, Austin, TX 78705",,Bing Maps,address
30.226173,-97.774423,"901 West Ben White Blvd, Austin, TX, 78704","901 W Ben White Blvd, Austin, TX 78704",,Bing Maps,address
30.4793319,-97.6881384,"1210 West Henna Blvd, Austin, TX, 78664","1210 W Louis Henna Blvd, Round Rock, TX 78681",,Bing Maps,address
30.5111,-97.713692,"2400 Round Rock Ave, Round Rock, TX, 78681","2400 Round Rock Ave, Round Rock, TX 78681",,Bing Maps,address
31.769959,-106.499027,"1801 North Oregon Street, El Paso, TX, 79902","1801 N Oregon St, El Paso, TX 79902",,Bing Maps,address
30.3825779,-97.7102432,"12221 MoPac Expressway, Austin, TX, 78758","78758, TX",,Bing Maps,postcode
30.305938,-97.741099,"3801 N Lamar Blvd, Austin, TX, 78756","3801 N Lamar Blvd, Austin, TX 78756",,Bing Maps,address
30.262449,-97.74288,"98 San Jacinto Blvd, Suite 1800, Austin, TX, 78701","98 San Jacinto Blvd, Austin, TX 78701",,Bing Maps,address
31.756535,-106.349876,"10301 Gateway West, El Paso, TX, 79925","10301 Gateway West Blvd, El Paso, TX 79925",,Bing Maps,address
30.360216,-97.742149,"7800 Shoal Creek Blvd, Suite 205 N, Austin, TX, 78757","7800 Shoal Creek Blvd, Austin, TX 78757",,Bing Maps,address
39.625994,-104.910788,4900 South Monaco Street,"4900 S Monaco St, Denver, CO 80237",,Bing Maps,address
39.6387329,-104.8999252,"Suite 380"", Denver, CO, 80237","80237, CO",,Bing Maps,postcode
37.7309387,-97.2708971,"2610 North Woodlawn, Wichita, KS, 67220","2610 N Ridgewood Dr, Wichita, KS 67220",,Bing Maps,address
39.689409,-104.832049,"1501 S Potomac St, Aurora, CO, 80012","1501 S Potomac St, Aurora, CO 80012",,Bing Maps,address
39.8703499,-104.98246,"9191 Grant St, Thornton, CO, 80229","Thornton, CO",,Bing Maps,city/town
39.73193,-104.933122,"4567 East Ninth Avenue, Denver, CO, 80220","4567 E 9th Ave, Denver, CO 80220",,Bing Maps,address
39.529261,-104.87059,"10101 RidgeGate Pkwy, Lone Tree, CO, 80124","10101 Ridgegate Pkwy, Lone Tree, CO 80124",,Bing Maps,address
39.747221,-104.966648,"1719 E 19th Ave, Denver, CO, 80218","1719 E 19th Ave, Denver, CO 80218",,Bing Maps,address
39.73112,-104.82739,"900 Potomac St, Denver, CO, 80011","900 Potomac St, Aurora, CO 80011",,Bing Maps,address
39.65416,-104.980741,"501 E Hampden Ave, Englewood, CO, 80110","501 E Hampden Ave, Englewood, CO 80113",,Bing Maps,address
37.69523,-97.298128,"550 N Hillside Street, Wichita, KS, 67214","550 N Hillside St, Wichita, KS 67214",,Bing Maps,address
26.525927,-80.167804,"10151 Enterprise Center Blvd, Boynton Beach, FL, 33437","10151 Enterprise Center Blvd, Boynton Beach, FL 33437",,Bing Maps,address
26.123853,-80.259475,"8201 W Broward Blvd, Plantation, FL, 33324","8201 W Broward Blvd, Fort Lauderdale, FL 33324",,Bing Maps,address
26.211991,-80.254284,"7201 N University Dr, Tamarac, FL, 33321","7201 N University Dr, Fort Lauderdale, FL 33321",,Bing Maps,address
26.126483,-80.205369,"401 NW 42nd Ave, Plantation, FL, 33317","401 NW 42nd Ave, Plantation, FL 33317",,Bing Maps,address
27.288548,-80.294019,"1800 SE Tiffany Ave, Port St. Luice, FL, 34952","1800 SE Tiffany Ave, Port St Lucie, FL 34952",,Bing Maps,address
26.831255,-80.084171,"3335 Burns Rd. Suite 101, Palm Beach Gardens, FL, 33410","3335 Burns Rd, Palm Beach Gardens, FL 33410",,Bing Maps,address
26.683722,-80.252555,"13001 Southern Blvd, Loxachatchee, FL, 33470","13001 Southern Blvd, Loxahatchee Groves, FL 33470",,Bing Maps,address
25.741151,-80.212821,"3663 South Miami Avenue, Miami, FL, 33133","3663 S Miami Ave, Miami, FL 33133",,Bing Maps,address
27.259842,-80.82857,"1796 Hwy 441 North, Okeechobee, FL, 34972","1796 US Highway 441 N, Okeechobee, FL 34972",,Bing Maps,address
26.077901,-80.250625,"3476 South University Drive, Davie, FL, 33328","3476 S University Dr, Davie, FL 33328",,Bing Maps,address
27.46562,-81.432938,"3600 South Highlands Avenue, Sebring, FL, 33870","3600 S Highlands Ave, Sebring, FL 33870",,Bing Maps,address
26.263231,-80.202844,"2801 N State Rd 7, Margate, FL, 33063","2801 N State Road 7, Margate, FL 33063",,Bing Maps,address
27.431867,-80.345456,"1700 S 23rd St, Fort Pierce, FL, 34954","1700 S 23rd St, Fort Pierce, FL 34950",,Bing Maps,address
25.741151,-80.212821,"3663 South Miami Avenue, Miami, FL, 33133","3663 S Miami Ave, Miami, FL 33133",,Bing Maps,address
26.925915,-80.101252,"875-N. Military Trail, Suite 101, Jupiter, FL, 33458","875 Military Trail, Jupiter, FL 33458",,Bing Maps,address
25.731654,-80.385888,"11750 Bird Rd, Miami, FL, 33175","11750 Bird Rd, Miami, FL 33175",,Bing Maps,address
26.119266,-80.1419352,"300 East Las Olas Blvd, Ft. Lauderdale, FL, 33301","300 E Las Olas Blvd, Fort Lauderdale, FL 33301",,Bing Maps,address
26.598522,-80.091209,"5301 South Congress Ave, Atlantis, FL, 33462","5301 South Congress Ave, Atlantis, FL 33462",,Bing Maps,address
26.761605,-80.087846,"2201 45th St, West Palm Beach, FL, 33407","2201 45th St, West Palm Beach, FL 33407",,Bing Maps,address
26.118777,-80.138777,"450 East Las Olas Blvd.. Suite 1100, Ft. Lauderdale, FL, 33301","450 E Las Olas Blvd, Fort Lauderdale, FL 33301",,Bing Maps,address
25.969919,-80.145311,"20900 Biscayne Blvd, Aventura, FL, 33180","20900 Biscayne Blvd, Aventura, FL 33180",,Bing Maps,address
26.438085,-80.118433,"4800 Linton Blvd, Bldg C, Delray, FL, 33445","4800 Linton Blvd, Delray Beach, FL 33445",,Bing Maps,address
26.627304,-80.076996,"2290 10th Ave North, Suite 101, West Palm Beach, FL, 33461","2290 10th Ave N, Palm Springs, FL 33461",,Bing Maps,address
